Title,Attachment Text,Start Date,End Date
Call for India-Ethiopia Innovation & Technology Commercialization Programme (IEITCP)," 
India-Ethiopia Innovation & Technology Commercialization Programme (IEITCP)  
 
INDIA - Call for Application 2019 
 
 
On behalf of the Department of Science & Technology, Government of India, FICCI 
invites applications under the India Ethiopia Innovation & Technology Commercialization 
Programme (IEITCP) in the following thematic areas: 
• Agriculture & Animal Husbandry; Food Processing 
• Health  
• Water & Sanitation 
• Renewable Energy  
• ICT & IT 
• Trade & Industry 
• Mines & Minerals 
• Petroleum & Natural Gas,  
• Environment & Forestry 
• Infrastructure 
 
Deadline for Submitting Application: July 31, 2019 
 
India-Ethiopia Innovation & Technology Commercialization Programme (IEITCP) 
The IEITCP was announced during the DST-FICCI Global R&D Summit held on 21-22 February 
2019 in Hyderabad by Hon’ble Dr. Harsh Vardhan, India’s Union Minister of Science & 
Technology, Earth Sciences and Environment, Forests & Climate Change, together with 
Hon’ble Engineer Dr. Getahun Mekuria, Hon’ble Minister of Innovation and Technology, 
Ethiopia. The objective is to strengthen the bilateral relationship between India & Ethiopia 
purely based on Science, Technology and Innovation. The Programme will identify and 
utilize validated Indian technologies/innovations culled through a unique and rigorous 
evaluation process to create sustainable joint projects/ventures in Ethiopia.  
 
The Programme will create at least 50 sustainable enterprises in Ethiopia over 5 years that 
will stimulate economic impact development. The programme will create an ecosystem 
wherein Indian innovations and technology enterprises drive B2B/B2G business ventures 
with Ethiopia, propelling growth in India and Ethiopia.  
 
 
 
 
Screening & Evaluation of Applications 
 
All applications received under the Programme Call will undergo a two-step evaluation 
process. Initial evaluation is carried out by Scientific & Subject Matter Experts. 
In the second step, shortlisted applicants will be invite",02/07/2019,31/07/2019
Call for Proposal of NIDHI PRAYAS Program.,,01/07/2019,31/07/2019
Indo- Poland Joint Research Programme   Call For Proposals 2019," 
1 
                                                               
 
DEPARTMENT OF SCIENCE & TECHNOLOGY 
Government of India 
 
INDO- POLAND JOINT RESEARCH PROGRAMME 
 
CALL FOR PROPOSALS 2019 
 
The Department of Science & Technology (DST), Govt. of India and Polish National Agency for 
Academic Exchange – NAWA (Poland), invite proposals for Joint Research projects in bilateral 
mode involving scientists & technologists from India and Poland. 
The DST and the NAWA (hereinafter referred to as the “Implementing Agencies”) hereby invite 
Indian and Polish scientists/researchers to submit proposals for Joint Research Projects in the 
following scientific areas : 
i) Natural Sciences 
ii) Engineering and Technology 
iii) Medical and Health Sciences 
iv)  Agricultural Sciences 
 
A. 
Guidelines for Proposal Submission:  
 
1.  About Proposals : 
 
a) Research Projects should be carried out jointly by research teams from both countries.  
b) Each country should have a team with a Team leader. The team leader  should be one 
who holds a full-time position at a University or Research Institution in the respective 
Country.  
c) The project should be made by the team leader in each country, to the respective 
Implementing Agency of his/her country, simultaneously. Both Applications shall be 
identical. Since all projects are joint projects, it is expected that consultations would 
have been held between relevant counterpart Institutions in the other country prior to 
the submission of an Application. 
d) It should be in English and shall be in the Form prescribed by the relevant Implementing 
Agency 
e) The duration of each project should be two years. (Scientists are advised to submit only 
one project against this Call.)   
f) The funding will cover the following expenses in connection with a project up to a limit 
agreed upon by each Implementing Agency - 
i. Research expenses / contingency: Limited Expenditure by the project team in their 
country in respect of consuma",10/06/2019,14/08/2019
extension of last date for submission of proposals under S&T for Women,"Government of India 
                    Ministry of Science and Technology 
  Department of Science and Technology 
Science and Technology 
 for Women Scheme 
 
 
 
 
 
 
CALL FOR PROPOSALS 
Science & Technology for Women Scheme was launched in Nineteen Eighties for 
empowering women through inputs of S&T to strengthen their position in the society. 
(Please note this is not a call for WoS-A /WoS B scheme. The Scheme is for women 
beneficiaries but the PI/CO-PI can be of any gender. The proposals are to be submitted by the 
type of organizations listed below.) 
The Objectives of the scheme are: 
• To support research, development and knowledge generation with respect 
to various stages of life cycle of women;  
• To promote research, development and adaptation of technology to create 
gainful employment potential of women, reduce their drudgery, improve 
working conditions in local areas through inputs of S & T; 
• To improve the quality of life, look into health and nutrition of women 
through the application of S & T    
 
Proposals are invited on the following Thrust Areas: 
1. 
Livelihood Status and Improvement   
 Innovative solutions/technologies for sustainable livelihood 
 Capacity building based on natural resources & non-farm sector 
 Novel women-centric farming practices  
 Use of advanced technologies e.g.  AI, 3D Printing, etc. for women centric 
issues. 
 Biodegradable, eco-friendly technologies. 
2. 
Health, Nutrition and Sanitation   
 Improving women and child mortality  
 Mental Health issues of women 
 Nutrition issues during different stages of women life cycle 
 Innovative Hygiene and Sanitation Technologies  
3. 
Women Safety and Occupational Hazards  
 S&T  based drudgery Reduction,  
 ICT Tools and other innovative technologies for women safety 
 Technologies to reduce Occupation Health Hazards in different working 
conditions 
 R&D on women safety and related issues 
 
4. 
Women Technology Parks(WTP) 
 
For development and ada",25/07/2019,16/08/2019
"Format and guidelines for the scheme, ""Science & Technology for Women""."," 
1 
 
SCIENCE FOR EQUITY, EMPOWERMENT 
& DEVELOPMENT (SEED) PROGRAMME 
 
INTRODUCTION: 
 
 
Science & Technology plays a vital role in the empowerment strategies for 
different sections of the society.  Schemes described in this publication have been 
formulated with the broad objective of providing opportunities to motivated scientists, 
technologist and field-level groups to undertake time-bound research and action oriented 
projects with inputs of science and technology for the benefit of different sections of 
society.  Programmes implementation can be through S&T institutions, University 
departments and S&T based voluntary organizations. 
 
 Salient features of the S& T for Women Scheme are described in Section-I. 
 Guidelines and terms and conditions for formulating proposals are laid down 
in Section-II. 
 Proforma for submitting proposals is in Section-III. 
 
ELIGIBILITY CONDITIONS: 
 
 
Organizations/institutes eligible for receiving grants under the Science for equity, 
empowerment & development programmes are: 
 
 
Recognized R&D laboratories, Universities and Educational Institutions. 
 
 
S&T based voluntary organizations, registered under the Societies Registration 
Act 1860 or a trust registered under the Indian Trusts Act 1982 or Charitable or 
Religious Act 1920 or under the corresponding State Act. Such organizations 
should have NGO darpan portal registration number and details. 
 
 
The organization should have been in existence for a minimum of three years 
after registration.  
 
 
The organization should have experience in handling projects having focus on S 
&T. 
 
PROCEDURE(S) OF THE SEED DIVISION, DST: 
 
Each application received is reviewed and examined by the concerned officer for its 
correctness and completeness. If the application is found to be complete and meets the 
eligibility criteria the proposal are sent for a peer review/screening. In some cases, on the 
spot visits by experts is undertaken. The proposals are examined b",25/07/2019,16/08/2019
India-Sweden Collaborative Industrial R&D Programme and RFP 2019,"A Not–for–Prot Company, jointly incorporated by Technology Development Board (TDB) of Department of Science 
& Technology (DST), Government of India and Confederation of Indian Industry (CII).
India-Sweden RFP 2019 Process Flow 
INDIA
Contact Details 
Ms. Deepanwita Mukherjee
E:  deepanwita.mukherjee@gita.org.in
T:  +91 11 4288 8012
RFP Submission in India 
& Sweden
Stage 1
Stage 2
Stage 3
India-Sweden RFP 2019 
Launch
Applica�on review in 
India & Sweden
Announcement of results 
& project approval
Signing of agreement & 
project commencement 
Project Mentoring & 
Release of funds
• Submission of Applica�on in India & Sweden
(Online mode in India)
• Submission of Addi�onal Documents
Ini�al Screening of Submi�ed Applica�on
• PEC review in India & similar review in Sweden
• Joint review between India & Sweden
• Signing of Agreement 
• Project Commencement 
• Periodic Project Mentoring to review Milestones 
• Release of funds upon successful comple�on of milestones 
• Results announcement in India & similar review in Sweden
• Appointment of Project Mentoring Commi�ee 
• Due Diligence 
• Final Approval 
Global Innovation & Technology Alliance (GITA) 
www.gita.org.in
SWEDEN
Swedish Governmental Agency for Innovation Systems (Vinnova)
Mr. Henrik Fridén
E:  henrik.friden@vinnova.se  
T:  +46 (0)8 473 31 54 
•
www.vinnova.se  
To �nd out more,
scan this code with 
your smartphone.
Programme Manager, responsible for the RFP 
INDIA-SWEDEN 
Collaborative Industrial Research & Development Programme
Launch Date
 April 11, 2019 
Closing Date 
August 19, 2019
Supported by 
Department of Science & Technology (DST), Govt.of India 
& 
Vinnova, Sweden
Dr. Chadaram Sivaji
E:  sivaji@nic.in
T:  +91 11 26590489
Scientist-F/Director
Department of Science and Technology
MATCHMAKING SERVICES 
FOCUS SECTORS
ABOUT THE PROGRAMME 
Department of Science & Technology (DST), Government of India and 
Swedish Governmental Agency for Innova�on Systems (Vinnova) have 
created funding mechanisms throu",15/04/2019,19/08/2019
Indo-Poland Joint Call for Proposal - Last date extended (14.08.2019 to 28.08.2019)," 
1 
                                                               
 
DEPARTMENT OF SCIENCE & TECHNOLOGY 
Government of India 
 
INDO- POLAND JOINT RESEARCH PROGRAMME 
 
CALL FOR PROPOSALS 2019 
 
The Department of Science & Technology (DST), Govt. of India and Polish National Agency for 
Academic Exchange – NAWA (Poland), invite proposals for Joint Research projects in bilateral 
mode involving scientists & technologists from India and Poland. 
The DST and the NAWA (hereinafter referred to as the “Implementing Agencies”) hereby invite 
Indian and Polish scientists/researchers to submit proposals for Joint Research Projects in the 
following scientific areas : 
i) Natural Sciences 
ii) Engineering and Technology 
iii) Medical and Health Sciences 
iv)  Agricultural Sciences 
 
A. 
Guidelines for Proposal Submission:  
 
1.  About Proposals : 
 
a) Research Projects should be carried out jointly by research teams from both countries.  
b) Each country should have a team with a Team leader. The team leader  should be one 
who holds a full-time position at a University or Research Institution in the respective 
Country.  
c) The project should be made by the team leader in each country, to the respective 
Implementing Agency of his/her country, simultaneously. Both Applications shall be 
identical. Since all projects are joint projects, it is expected that consultations would 
have been held between relevant counterpart Institutions in the other country prior to 
the submission of an Application. 
d) It should be in English and shall be in the Form prescribed by the relevant Implementing 
Agency 
e) The duration of each project should be two years. (Scientists are advised to submit only 
one project against this Call.)   
f) The funding will cover the following expenses in connection with a project up to a limit 
agreed upon by each Implementing Agency - 
i. Research expenses / contingency: Limited Expenditure by the project team in their 
country in respect of consuma",22/08/2019,28/08/2019
Nano Mission-Call for proposals for Thematic Projects in Three identified areas,"GOVERNMENT OF INDIA 
MINISTRY OF SCIENCE AND TECHNOLOGY 
DEPARTMENT OF SCIENCE AND TECHNOLOGY 
Nano Mission Secretariat 
Call for proposals for ""Thematic Projects in Three identified areas” 
 
The Nano Mission Council, has identified 3 areas as of now in Nano R&D in which proposals are 
now invited from Institutions that have active research in Nano S&T. The three areas identified are 
as follows: 
 
i. 
Nanotechnology in Agriculture – Includes areas like Nano based soil and water management; control 
systems for precision agriculture; control of diseases and insect-pests in crops and animals; post-harvest, value 
addition and value chain in crops, animals and fisheries; development and deployment of sensors for 
instruments & farm equipment, storage and marketing; fertilizers, micronutrients and pesticides; food and fibre 
quality; packaging and marketing. 
 
ii. 
Nano for Energy & Environment – Fundamental studies and applications towards Design, Development and 
Engineering Nanomaterials for clean Energy- and Environment; Multi-electron intercalation chemistry – 
Systems beyond Li-ion chemistry in rechargeable storage devices – for example, Magnesium, Aluminium & 
Zinc–based systems. Conversion and alloy electrodes – Fundamental understanding and Applications; Solid-
electrolyte interface in high energy storage systems to address degradation issues; Metal – halide and metal-
sulphur chemistry and related studied aspects; Metal-air rechargeable systems; Static storage devices based 
on flow systems; Novel aspects of fuel cells and hybrid energy storage devices involving supercapacitors; 
Energy conversion based on photochemical, electrochemical and photo-electrochemical processes. 
Thermoelectrics – new and novel materials; Environmental - Fundamental studies on environmentally important 
and relevant nanoscale phenomena and their applications. 
 
iii. 
Quantum Materials with exciting Nano-science and novel applications – includes emphasis on novel and 
exotic qua",05/08/2019,30/08/2019
The call for Proposals for Science Technology and Innovation (STI) Hubs for Development of Scheduled Caste (SC) and Scheduled Tribe (ST) Communities," 
 
 
 
 
 
SCIENCE TECHNOLOGY AND INNOVATION (STI) HUBS FOR 
DEVELOPMENT OF SCHEDULED CASTE (SC) AND SCHEDULED 
TRIBE (ST) COMMUNITIES  
 
Call for Proposals 2019 
 
The Department of Science and Technology invite proposals for establishment of 
Science Technology and Innovation (STI) Hubs to develop, nurture and ensure the 
development, improvement, and delivery of appropriate and relevant S&T 
approaches for Creation of Sustainable Livelihoods and enhancing the Quality of 
Life of the Scheduled Caste and Scheduled Tribe population in the country. The 
thrust areas for interventions though not restricted may focus on the following 
themes. 
 
1. Agriculture and Food Security 
2. Water and Energy 
3. Affordable Health Care & Health Security 
4. Habitat & Environment 
5. Rural Enterprises 
6. Information & Communication Technology (ICT)/Internet of Things 
(IOT)/Artificial Intelligence for Rural Development 
7. Any other relevant S&T Interventions aiming at creation of sustainable 
livelihoods and improving the quality of life of SC/ST Population 
 
WHO CAN APPLY 
 
1. Universities and other higher educational institutions recognized or regulated by 
UGC/ AICTE and/or MHRD/ State Education Department 
2. Private Academic Universities/ Colleges/ Institutions and Government Aided 
Colleges recognized or regulated by UGC/ AICTE  
3. S&T based voluntary organizations, which are working in the rural areas with 
legal status or as a society registered under the Societies Registration Act 1860 or a 
trust registered under the Indian Trusts Act 1982 or Charitable or Religious Act 
1920 
4. Recognised R&D Labs/Centres 
 
Government of India 
Ministry of Science and Technology 
Department of Science and Technology 
 
 
APPLICATION PROCESS 
 
1. The Principal Investigator should submit the project proposal online through 
DST’s 
Electronic 
Project 
Management 
System 
(e-PMS) 
on 
portal 
www.onlinedst.gov.in the given format along with necessary documents.  
2. For detailed ",17/07/2019,31/08/2019
PFA announcement/guideline for the Indo-Japan Joint call for proposal,"GOVERNMENT OF INDIA 
MINISTRY OF SCIENCE AND TECHNOLOGY 
DEPARTMENT OF SCIENCE & TECHNOLOGY 
 
INDIA-JAPAN COOPERATIVE SCIENCE PROGRAMME (IJCSP) 
CALL FOR PROPOSALS-2019 
 
 
DEADLINE DATE FOR SUBMITTING PROPOSALS: 4th September, 2019 
The Department of Science and Technology (DST), Ministry of Science & 
Technology, Government of India, New Delhi and the Japan Society for the 
Promotion of Science (JSPS) conduct the India-Japan Cooperative Science 
Programme (IJCSP) to promote bilateral scientific collaboration between Indian and 
Japanese scientists. Applications are invited from eligible Indian researchers 
/scientists to submit proposals for Joint Research Projects and Joint 
Workshops/Seminars under IJCSP.  
 
I.  Areas of cooperation: The support is available to the following scientific areas: 
[A] Fundamental Sciences: Physical and Chemical Systems  
1. Condensed Matter Physics  
2. Molecules and Molecular Assembly Science  
3. Interface Science and Catalysis 
[B] Materials and System Engineering: Man-made Systems 
1. Advanced Materials and Nanotechnologies (This keyword includes areas of metal  
    ceramics, polymer science & engineering and materials processes)   
2. Engineering Sciences (This keyword includes areas of manufacturing science and  
engineering and synthesis & analysis/optimization & simulation of engineering 
processes and systems)  
[C] Natural Systems: Life Sciences and Bioengineering 
1. Molecular and Chemical Biosciences   
2. Biotechnology and Bioengineering   
3. Medical Biosciences  
4. Cognitive Science  
[D] Astronomy, Space, Earth System and Sciences   
1. Astronomy, Astrophysics, and Space & Planetary Science  
2. Geosciences (Marine, Meteorology, Geology, Paleontology)  
3. Geophysics and Geochemistry for Global Issues (Global warming and Natural  
    Resource)  
[E] Mathematics and Computational Science 
1. Mathematical Science  
 
2. Computational Science and Engineering  
3. Big Data analytics 
4. Machine Learning 
II. Who ca",09/07/2019,04/09/2019
Call for Proposals for Science Technology and Innovation (STI) Hubs for Development of SC and ST Communities," 
 
 
 
 
 
SCIENCE TECHNOLOGY AND INNOVATION (STI) HUBS FOR 
DEVELOPMENT OF SCHEDULED CASTE (SC) AND SCHEDULED 
TRIBE (ST) COMMUNITIES  
 
Call for Proposals 2019 
 
The Department of Science and Technology invite proposals for establishment of 
Science Technology and Innovation (STI) Hubs to develop, nurture and ensure the 
development, improvement, and delivery of appropriate and relevant S&T 
approaches for Creation of Sustainable Livelihoods and enhancing the Quality of 
Life of the Scheduled Caste and Scheduled Tribe population in the country. The 
thrust areas for interventions though not restricted may focus on the following 
themes. 
 
1. Agriculture and Food Security 
2. Water and Energy 
3. Affordable Health Care & Health Security 
4. Habitat & Environment 
5. Rural Enterprises 
6. Information & Communication Technology (ICT)/Internet of Things 
(IOT)/Artificial Intelligence for Rural Development 
7. Any other relevant S&T Interventions aiming at creation of sustainable 
livelihoods and improving the quality of life of SC/ST Population 
 
WHO CAN APPLY 
 
1. Universities and other higher educational institutions recognized or regulated by 
UGC/ AICTE and/or MHRD/ State Education Department 
2. Private Academic Universities/ Colleges/ Institutions and Government Aided 
Colleges recognized or regulated by UGC/ AICTE  
3. S&T based voluntary organizations, which are working in the rural areas with 
legal status or as a society registered under the Societies Registration Act 1860 or a 
trust registered under the Indian Trusts Act 1982 or Charitable or Religious Act 
1920 
4. Recognised R&D Labs/Centres 
Government of India 
Ministry of Science and Technology 
Department of Science and Technology 
 
 
APPLICATION PROCESS 
 
1. The Principal Investigator should submit the project proposal online through 
DST‟s 
Electronic 
Project 
Management 
System 
(e-PMS) 
on 
portal 
www.onlinedst.gov.in the given format along with necessary documents.  
2. For detailed gu",30/08/2019,20/09/2019
Water Advanced Research and Innovation (WARI) Fellowship Program call 2019,,04/07/2019,30/09/2019
Call For Proposal: India-Australia CFP for Round 12 under AISRF," 
GOVERNMENT OF INDIA 
MINISTRY OF SCIENCE AND TECHNOLOGY 
DEPARTMENT OF SCIENCE & TECHNOLOGY 
 
Indo-Australia Fund for Scientific and Technological Cooperation (Indo-AISRF) 
Round 12 
CALL FOR PROPOSALS-2019-2022 
 
 
 
LAST DATE  FOR SUBMITION OF  PROPOSALS: 23 October, 2019 
The Department of Science and Technology (DST), Ministry of Science & 
Technology. Government of India, New Delhi and the Department of Industry, Innovation 
and Science (DIIS), Australian Government are providing financial support for joint research 
activities carried out by Indian and Australian researchers. Indian-Australian research teams 
are hereby invited to submit joint research proposals under Round 12 of AISRF.  
 
PART 1 – OVERVIEW 
 
1.1 
Background and objectives 
The Australia-India Strategic Research Fund (AISRF) is a platform for bilateral 
collaboration in science, jointly managed and funded by the governments of India and 
Australia. 
Since its establishment in 2006, the AISRF has supported collaborative, leading-
edge research between scientists in India and Australia across a range of agreed priority 
areas.  It has also helped to build linkages between premier research institutions in both 
countries. 
 The objectives of the AISRF are to: 
 
increase the uptake of leading-edge science and technology (S&T) by supporting 
collaboration between Australian and Indian researchers in strategically focused, 
leading-edge scientific research and technology projects, and strengthening strategic 
alliances between Australian and Indian researchers; and  
 
facilitate Australia’s and India’s access to the global S&T system. 
   
1.2 
SUPPORT AVAILABLE UNDER ROUND TWELVE 
Applications are sought for proposals in the 12th round of the following AISRF components:  
 
the Indo-Australian Fund for Scientific and Technological Cooperation (Indo-Australian 
S&T Fund); and 
 
Support is provided for collaborative research projects involving Indian and Australian 
partners.  
 
We cann",02/09/2019,23/10/2019
Call for Proposals: Technology Interventions for Disabled and Elderly (TIDE),"1 
 
 
 
 
 
TECHNOLOGY INTERVENTIONS FOR DISABLED 
AND ELDERLY (TIDE) 
 
CALL FOR PROPOSALS 2019 
 
1. Preamble 
 
The Science for Equity, Empowerment & Development Division (SEED), Department of 
Science and Technology (DST) is implementing a programme “Technology 
Interventions for Disabled and Elderly (TIDE)” to promote applied research and 
development of assistive technologies for empowerment of Elderly population and 
Divyangjan in the country. TIDE Programme provides Grant-in-Aid support to 
Knowledge Institutions, Recognized R&D Labs and S&T based Voluntary Organizations 
for design and development of Assistive Devices, Processes and Protocols for improved 
Autonomy, Quality of Life and Social Inclusion of target beneficiaries (Elderly and 
Divyangjan) 
 
2. Objectives of the call 
 
The objective of the call is to invite and support  
o R&D proposals to promote translational research with multidisciplinary approach 
to deliver potential technological solutions for identified problems of elderly and 
Divyangjan through application of Science and Technology (S&T) Inputs.  
o Proposals on utilising available lab scale know-hows to consolidate research 
outputs in the field of assistive technologies 
o Proposals to upgrade the Technology Readiness Level (TRL) of existing assistive 
devices. 
o Proposals on import substitutes  
 
 
Government of India 
Ministry of Science and Technology 
Department of Science and Technology 
2 
 
3. Thematic Areas under the Call 
 
Proposals are invited under six (6) different broad thematic areas as mentioned below.   
o Elderly/Geriatric Sector  
o Visual Disability (including low vision)  
o Intellectual Disabilities (including Learning Disabilities)  
o Hearing & Speech Disabilities  
o Locomotor Disability  
o Multiple Disabilities  
 
An applicant can apply in any of the above themes as Principal Investigator. Applications 
of an individual would be summarily rejected if he/she applies in more than two thematic 
areas or ",16/09/2019,31/10/2019
Call for Proposal: Indo- Sri Lanka Joint Research Programme," 
 
 
       Call for Proposal 2019 
 
 
 
Under 
Indo- Sri Lanka Joint Research Programme 
CLOSING DATE –  04 NOVEMBER 2019  
 
 
The Ministry of Science, Technology and Research (MSTR), Government of the Democratic Socialist 
Republic of Sri Lanka and the Department of Science and Technology (DST), Government of India 
concluded a Programme of Cooperation (PoC) in Science and Technology, on August 14th 2019. In terms 
of the PoC, funding can be made available for selected Joint Projects and Workshops in bilateral mode 
involving scientist & technologists from Sri Lanka and India, in the following areas: 
a. Food Technology 
b. Plant base medicines  
c. Metrology 
d. Space Research & Applications 
e. Robotics & Automation 
f. 
Industrial Electronics 
g. Renewable Energy 
h. Waste Management 
i. 
Information and Communication Technology 
j. 
Any other project with national relevance (with Justifications)  
 
The MSTR and DST (hereinafter referred to as the “Implementing Agencies”) hereby invite Sri Lankan 
and Indian scientists/researchers to submit proposals for Joint Research Projects and Bilateral 
Workshops in any of the above areas in terms of the provisions herein set out.  
 
(A) APPLICATIONS 
(1) An Application shall – 
a) be for a Joint Research Project or a Workshop as herein provided 
b) be made simultaneously by a counterpart Team in each country as hereinafter provided 
c) be made by the Leader of a team of scientists in each country (Team Leader), to the 
respective Implementing Agency of his/her country, simultaneously. Both Applications 
shall be identical. Since all projects are joint projects, it is expected that consultations 
would have been held between relevant counterpart Institutions in the other country 
prior to the submission of an Application 
d) be in English and shall be in the Form prescribed by the relevant Implementing Agency 
e) be required to be submitted by the dates set out below 
 
(2) Applications are required to be submitted a",16/09/2019,04/11/2019
DST-DFG-Joint Call-2019 Chemistry Mathematics Physics,"  
 
 
 
 
 
 
 
 
 
 
 
DST-DFG Joint Call inviting joint research proposals 
Submission Deadline: 20 November 2019 
Indo-German Collaborative Research Activities 
in Chemistry, Mathematics & Physics 
 
 
Pursuant to the Memorandum of Understanding (MoU) between the Department of Science 
and Technology, India (DST) and the Deutsche Forschungsgemeinschaft (German Research 
Foundation, DFG), DST and DFG are opening the possibility for joint Indo-German research 
project funding in the fields of Chemistry, Mathematics, Physics (DFG review boards 301 to 
312). Indo-German teams of researchers are invited to submit joint proposals describing 
integrated research projects with a duration of up to three years. DST and DFG particularly 
wish to encourage early career researchers to participate in this international funding 
opportunity, though the call is open to researchers of all career stages. Proposals may describe 
either mono-disciplinary or multi-disciplinary projects. In the case of interdisciplinary proposals, 
however, it is important that the central parts of the project fall within the listed fields. 
 
These joint proposals in the fields of Chemistry, Mathematics and Physics have to be based 
on a close interaction between the German and Indian research teams and should present 
joint project goals and a joint work plan with balanced contributions from all project partners. 
 
For administrative reasons, it is necessary that an Indo-German team of researchers wishing 
to respond to this call must submit two proposals in parallel; the Indian partner to DST, the 
German partner to DFG. Each proposal must follow the regulations of the respective agency; 
proposals failing to fulfil all formal requirements will be rejected. Funds to be used by the Indian 
side must be requested from DST; funds to be used by the German side must be requested 
from DFG. 
 
The proposals will be evaluated separately by DST and DFG on the basis of the projects’ 
scientific merit/qual",03/06/2019,20/11/2019
Call For Proposal: India-Israel CFP 2020-22 for joint research cooperation," 
 
1 
 
INDIAN-ISRAELI JOINT RESEARCH COOPERATION 
Call for Project Proposals 
2020-2022 
(Last Date of Submission: 5th December, 2019) 
 
A. AREAS OF COOPERATION 
The Department of Science and Technology, Government of India-(referred to as “DST”) and the 
Ministry of Science and Technology of State of Israel (referred to as “MOST”) are providing financial 
support for joint research activities carried out by Indian and Israeli researchers. Indian-Israeli research 
teams are hereby invited to submit joint research proposals on: 
1. Advanced materials for next gen solar energy utilization and energy storage 
Renewable energy research is required for finding new, efficient, environment friendly and 
sustainable energy sources to replace fossil fuels such as oil, coal and natural gas. 
Advancement in this field will reduce pollution, greenhouse effect and climate changes. The call 
will 
focus 
on 
development 
of 
advanced 
materials 
for 
conversion 
of 
energy from sunlight into electricity and development advanced materials for energy storage. 
2. Quantum devices And  Quantum Technologies for sensing imaging and communication 
B. MODE OF COOPERATION 
Cooperation may take the form of: 
 Joint research project activities where interdependent subprojects of a single project are conducted in 
the Indian and the Israeli laboratories; 
 Complementary methodological approaches to a common problem; 
 Joint use of research facilities, materials, equipment and/or services by cooperating scientists; 
 Joint planning of research and evaluation of results. 
C. LEVEL OF FUNDING AND PROJECT DURATION 
The maximum funding available for all research projects approved under this Call is Rs. 4 crore for the 
Indian side and 4,000,000 NIS for the Israeli side, for the two year period. The allocation for each 
specific research proposal that is approved will be up to 400,000 NIS on the Israeli side and Indian side 
would provide fund to all the approved S&T activities under the pr",04/09/2019,05/12/2019
Call for Proposals: Indo-Hungarian Joint Research - 2019,"INDO-HUNGARIAN INTER-GOVERNMENTAL 
SCIENCE & TECHNOLOGY COOPERATION PROGRAMME 
INDO-HUNGARIAN JOINT RESEARCH 
CALL FOR PROPOSALS- 2019 
 
LAST DATE FOR SUBMISSION OF  PROPOSALS: 11th March, 2020 
 
 
General Instructions: 
 
The Department of Science and Technology (DST), Ministry of Science & Technology, 
Government of India, New Delhi and the National Research, Development and 
Innovation Office (NRDIO) conduct the industrial research and development 
projects in the framework of Indian-Hungarian Science and Technology 
Cooperation Programme to promote bilateral scientific collaboration between Indian 
and Hungarian scientists. Applications are invited from eligible Indian researchers 
/scientists to submit proposals for Joint Research Projects under the collaboration.  
 
The main objective of the call is to foster competitive RDI projects based on mutual 
professional advantages and implemented in Hungarian–Indian cooperation which 
generate new or further developed, market-oriented technologies, products and 
services. Projects shall represent clear competitive advantage and added value.  
 
Applications shall be submitted with identical professional content by both the Indian 
and the Hungarian partners in their own countries. Unilaterally submitted applications 
will not be accepted. 
 
Types of activities to be funded: Joint research projects 
 
Description: Grants for Joint Research Projects are meant to promote collaborative 
projects with clearly defined goals involving at least one Indian and one Hungarian 
scientist. 
 
Applications should describe ambitious research and propose innovative 
approaches. 
 
In case of application oriented proposals, applications should include a detailed 
dissemination plan specifying how project findings will be used for the benefits 
of the community, e.g. through incorporation into products and services. 
 
Depending on the complexity of the projects, the designation of a project 
coordinator ensuring coherence, con",31/12/2019,11/03/2020
Call for Proposal SUTRA-PIC India Program,"1 
 
 
Government of India 
Ministry of Science and Technology 
Department of Science and Technology 
Science for Equity, Empowerment & Development (SEED) Division 
Scientific Utilization through Research Augmentation-Prime 
Products from Indigenous Cows:  
SUTRA-PIC India Program 
 
OPEN CALL FOR RESEARCH & DEVELOPMENT PROPOSALS 
An inter-Ministerial funding program “Scientific Utilization through Research Augmentation- 
Prime Products from Indigenous Cows” (SUTRA-PIC India) has been planned with the support 
of Ministry of Science & Technology through Department of Science and Technology (DST), 
Department of Biotechnology (DBT), Department of Scientific and Industrial Research 
(DSIR)- Council of Scientific & Industrial Research (CSIR); Ministry of Ayurveda, Yoga, and 
Naturopathy, Unani, Siddha & Homoeopathy (Ayush); Ministry of New and Renewable 
Energy (MNRE), Indian Council of Agricultural Research (ICAR), and Indian Council of 
Medical Research (ICMR). Project proposals are invited from scientists/ academicians from 
Research Institutions, Academics, Grassroots Organizationsand so on to carry out R&D work, 
technology development linked to capacity building at local levelcovering following five 
thematic areas: 
 
1. Uniqueness of Indigenous Cows 
 
Indian cows are believed to possess certain unique qualities& characteristics. It is well known 
perception that Desi cow remain healthy and can survive well in local environment. According 
to one report “The markets from Australia to Brazil are seeking India's cattle for their resilient 
qualities such as tick resistance, heat tolerance and the ability to flourish even with inadequate 
feeds.” Though, scientific studies performed by a few investigators prove some special 
characteristics of desi cows, many other properties of these cows need detailed scientific 
investigations. Studies on Metagenomic and proteogenomic analysis of Indian cows need 
detailed scientific investigations. Thus, one of the major aims ",14/02/2020,14/03/2020
